,homeTeam,awayTeam,homeScore,awayScore,OT
0,Cleveland Cavaliers,Boston Celtics,102,99,0
1,Golden State Warriors,Houston Rockets,121,122,0
2,Washington Wizards,Philadelphia Sixers,120,115,0
3,Detroit Pistons,Charlotte Hornets,102,90,0
4,Indiana Pacers,Brooklyn Nets,140,131,0
5,Orlando Magic,Miami Heat,116,109,0
6,Boston Celtics,Milwaukee Bucks,100,108,0
7,Memphis Grizzlies,New Orleans Pelicans,103,91,0
8,Dallas Mavericks,Atlanta Hawks,111,117,0
9,Utah Jazz,Denver Nuggets,106,96,0
10,San Antonio Spurs,Minnesota Timberwolves,107,99,0
11,Phoenix Suns,Portland Trail Blazers,76,124,0
12,Sacramento Kings,Houston Rockets,100,105,0
13,Toronto Raptors,Chicago Bulls,117,100,0
14,Oklahoma City Thunder,New York Knicks,105,84,0
15,Los Angeles Clippers,Los Angeles Lakers,108,92,0
16,Milwaukee Bucks,Cleveland Cavaliers,97,116,0
17,Charlotte Hornets,Atlanta Hawks,109,91,0
18,Indiana Pacers,Portland Trail Blazers,96,114,0
19,Philadelphia Sixers,Boston Celtics,92,102,0
20,Washington Wizards,Detroit Pistons,115,111,0
21,Brooklyn Nets,Orlando Magic,126,121,0
22,Minnesota Timberwolves,Utah Jazz,100,97,0
23,Dallas Mavericks,Sacramento Kings,88,93,0
24,New Orleans Pelicans,Golden State Warriors,120,128,0
25,Phoenix Suns,Los Angeles Lakers,130,132,0
26,Toronto Raptors,Philadelphia Sixers,128,94,0
27,Cleveland Cavaliers,Orlando Magic,93,114,0
28,Miami Heat,Indiana Pacers,112,108,0
29,New York Knicks,Detroit Pistons,107,111,0
30,Chicago Bulls,San Antonio Spurs,77,87,0
31,Houston Rockets,Dallas Mavericks,107,91,0
32,Memphis Grizzlies,Golden State Warriors,111,101,0
33,Milwaukee Bucks,Portland Trail Blazers,113,110,0
34,Denver Nuggets,Sacramento Kings,96,79,0
35,Utah Jazz,Oklahoma City Thunder,96,87,0
36,Los Angeles Clippers,Phoenix Suns,130,88,0
37,Brooklyn Nets,Atlanta Hawks,116,104,0
38,Oklahoma City Thunder,Minnesota Timberwolves,113,115,0
39,Los Angeles Lakers,New Orleans Pelicans,112,119,0
40,Detroit Pistons,Philadelphia Sixers,86,97,0
41,Miami Heat,Atlanta Hawks,104,93,0
42,Houston Rockets,Memphis Grizzlies,90,98,0
43,Milwaukee Bucks,Charlotte Hornets,103,94,0
44,Dallas Mavericks,Golden State Warriors,103,133,0
45,San Antonio Spurs,Toronto Raptors,101,97,0
46,Denver Nuggets,Washington Wizards,104,109,0
47,Phoenix Suns,Sacramento Kings,117,115,0
48,Cleveland Cavaliers,Chicago Bulls,119,112,0
49,Orlando Magic,Brooklyn Nets,125,121,0
50,Boston Celtics,New York Knicks,110,89,0
51,Minnesota Timberwolves,Indiana Pacers,107,130,0
52,Portland Trail Blazers,New Orleans Pelicans,103,93,0
