ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,0,1,-1,1,1,-1,-1,1,-1,1,1,-1
1,1,-1,1,1,-1,1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,0,1,1,-1,-1,-1,1,1,1,-1,-1,1
-1,-1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,0,-1,1,1,-1,1,-1,1,1,-1,1,-1
1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,-1,-1,1,1,-1,1,1
1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,-1,0,1,-1,1,-1,1,1,1,1,-1,1,-1
1,1,1,1,-1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,-1,1
1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,0,-1,1,1,-1,-1,1,-1,1,-1,1,-1
-1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,0,1,-1,1,-1,-1,-1,1,1,-1,1,-1
1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,-1,0,1,1,-1,-1,1,-1,1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,-1,0,1,-1,1,-1,1,1,-1,-1,1,1,1
-1,-1,-1,-1,1,1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,1,0,1,-1,1,-1,1,1,-1,1,1,1,-1
1,-1,1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,0,1,1,1,-1,-1,1,1,1,-1,1,-1
1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,0,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
1,1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,0,-1,1,1,-1,1,1,1,1,1,-1,1
-1,1,1,1,1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,1,1,0,1,-1,1,-1,-1,-1,1,1,-1,1,-1
-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1,0,1,1,-1,1,1,1,1,-1,1,1,1
-1,1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,0,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1
-1,1,-1,1,1,1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,0,-1,1,1,-1,-1,-1,1,-1,-1,-1,1
-1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,0,1,1,1,-1,-1,1,-1,1,-1,1,1
1,-1,1,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,0,1,-1,1,-1,1,1,1,1,-1,1,1
-1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,-1,-1,-1,1,1,-1,1
-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,0,-1,1,-1,1,1,-1,1,1,-1,1,1
1,-1,-1,-1,1,1,-1,1,1,1,-1,1,-1,-1,-1,1,1,-1,0,1,-1,1,-1,1,-1,-1,1,-1,1,-1
1,1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
-1,-1,-1,-1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,0,-1,1,1,-1,1,-1,1,-1,1,1,-1
1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,-1,0,1,1,1,-1,1,-1,1,1,-1,-1,1
