,team,H25,H975
0,ATL,0.46669,0.56284
1,BKN,0.46762,0.56398
2,BOS,0.46752,0.56237
3,CHA,0.46509,0.56158
4,CHI,0.46653,0.56391
5,CLE,0.46574,0.56251
6,DAL,0.46697,0.56302
7,DEN,0.4663,0.56368
8,DET,0.46656,0.56367
9,GSW,0.4673,0.56353
10,HOU,0.46686,0.56263
11,IND,0.4658,0.56402
12,LAC,0.4661,0.5632
13,LAL,0.46642,0.56399
14,MEM,0.46753,0.56313
15,MIA,0.46711,0.56311
16,MIL,0.46604,0.56218
17,MIN,0.46669,0.56326
18,NOP,0.46612,0.56401
19,NYK,0.46715,0.56391
20,OKC,0.46739,0.56303
21,ORL,0.46745,0.56401
22,PHI,0.46676,0.56353
23,PHX,0.46577,0.56277
24,POR,0.46744,0.56265
25,SAC,0.46606,0.56395
26,SAS,0.4684,0.56411
27,TOR,0.46673,0.56273
28,UTA,0.46764,0.56359
29,WAS,0.46661,0.5631
